Country,2019 Population
China,"1,433,783,686"
India,"1,366,417,754"
United States,"329,064,917"
Indonesia,"270,625,568"
Pakistan,"216,565,318"
Brazil,"211,049,527"
Nigeria,"200,963,599"
Bangladesh,"163,046,161"
Russia,"145,872,256"
Mexico,"127,575,529"
Japan,"126,860,301"
Ethiopia,"112,078,730"
Philippines,"108,116,615"
Egypt,"100,388,073"
Vietnam,"96,462,106"
DR Congo,"86,790,567"
Germany,"83,517,045"
Turkey,"83,429,615"
Iran,"82,913,906"
Thailand,"69,625,582"
United Kingdom,"67,530,172"
France,"65,129,728"
Italy,"60,550,075"
South Africa,"58,558,270"
Tanzania,"58,005,463"
Myanmar,"54,045,420"
Kenya,"52,573,973"
South Korea,"51,225,308"
Colombia,"50,339,443"
Spain,"46,736,776"
Argentina,"44,780,677"
Uganda,"44,269,594"
Ukraine,"43,993,638"
Algeria,"43,053,054"
Sudan,"42,813,238"
Iraq,"39,309,783"
Afghanistan,"38,041,754"
Poland,"37,887,768"
Canada,"37,411,047"
Morocco,"36,471,769"
Saudi Arabia,"34,268,528"
Uzbekistan,"32,981,716"
Peru,"32,510,453"
Malaysia,"31,949,777"
Angola,"31,825,295"
Ghana,"30,417,856"
Mozambique,"30,366,036"
Yemen,"29,161,922"
Nepal,"28,608,710"
Venezuela,"28,515,829"
Madagascar,"26,969,307"
Cameroon,"25,876,380"
Ivory Coast,"25,716,544"
North Korea,"25,666,161"
Australia,"25,203,198"
Taiwan,"23,773,876"
Niger,"23,310,715"
Sri Lanka,"21,323,733"
Burkina Faso,"20,321,378"
Mali,"19,658,031"
Romania,"19,364,557"
Chile,"18,952,038"
Malawi,"18,628,747"
Kazakhstan,"18,551,427"
Zambia,"17,861,030"
Guatemala,"17,581,472"
Ecuador,"17,373,662"
Netherlands,"17,097,130"
Syria,"17,070,135"
Cambodia,"16,486,542"
Senegal,"16,296,364"
Chad,"15,946,876"
Somalia,"15,442,905"
Zimbabwe,"14,645,468"
Guinea,"12,771,246"
Rwanda,"12,626,950"
Benin,"11,801,151"
Tunisia,"11,694,719"
Belgium,"11,539,328"
Burundi,"11,530,580"
Bolivia,"11,513,100"
Cuba,"11,333,483"
Haiti,"11,263,077"
South Sudan,"11,062,113"
Dominican Republic,"10,738,958"
Czech Republic,"10,689,209"
Greece,"10,473,455"
Portugal,"10,226,187"
Jordan,"10,101,694"
Azerbaijan,"10,047,718"
Sweden,"10,036,379"
United Arab Emirates,"9,770,529"
Honduras,"9,746,117"
Hungary,"9,684,679"
Belarus,"9,452,411"
Tajikistan,"9,321,018"
Austria,"8,955,102"
Papua New Guinea,"8,776,109"
Serbia,"8,772,235"
Switzerland,"8,591,365"
Israel,"8,519,377"
Togo,"8,082,366"
Sierra Leone,"7,813,215"
Hong Kong,"7,436,154"
Laos,"7,169,455"
Paraguay,"7,044,636"
Bulgaria,"7,000,119"
Lebanon,"6,855,713"
Libya,"6,777,452"
Nicaragua,"6,545,502"
El Salvador,"6,453,553"
Kyrgyzstan,"6,415,850"
Turkmenistan,"5,942,089"
Singapore,"5,804,337"
Denmark,"5,771,876"
Finland,"5,532,156"
Slovakia,"5,457,013"
Republic of the Congo,"5,380,508"
Norway,"5,378,857"
Costa Rica,"5,047,561"
Palestine,"4,981,420"
Oman,"4,974,986"
Liberia,"4,937,374"
Ireland,"4,882,495"
New Zealand,"4,783,063"
Central African Republic,"4,745,185"
Mauritania,"4,525,696"
Panama,"4,246,439"
Kuwait,"4,207,083"
Croatia,"4,130,304"
Moldova,"4,043,263"
Georgia,"3,996,765"
Eritrea,"3,497,117"
Uruguay,"3,461,734"
Bosnia and Herzegovina,"3,301,000"
Mongolia,"3,225,167"
Armenia,"2,957,731"
Jamaica,"2,948,279"
Puerto Rico,"2,933,408"
Albania,"2,880,917"
Qatar,"2,832,067"
Lithuania,"2,759,627"
Namibia,"2,494,530"
Gambia,"2,347,706"
Botswana,"2,303,697"
Gabon,"2,172,579"
Lesotho,"2,125,268"
Macedonia,"2,083,459"
Slovenia,"2,078,654"
Guinea-Bissau,"1,920,922"
Latvia,"1,906,743"
Bahrain,"1,641,172"
Trinidad and Tobago,"1,394,973"
Equatorial Guinea,"1,355,986"
Estonia,"1,325,648"
Timor-Leste,"1,293,119"
Mauritius,"1,269,668"
Cyprus,"1,198,575"
Swaziland,"1,148,130"
Djibouti,"973,560"
Fiji,"889,953"
Reunion,"888,927"
Comoros,"850,886"
Guyana,"782,766"
Bhutan,"763,092"
Solomon Islands,"669,823"
Macau,"640,445"
Montenegro,"627,987"
Luxembourg,"615,729"
Western Sahara,"582,463"
Suriname,"581,372"
Cape Verde,"549,935"
Maldives,"530,953"
Malta,"440,372"
Brunei,"433,285"
Guadeloupe,"400,056"
Belize,"390,353"
Bahamas,"389,482"
Martinique,"375,554"
Iceland,"339,031"
Vanuatu,"299,882"
French Guiana,"290,832"
Barbados,"287,025"
New Caledonia,"282,750"
French Polynesia,"279,287"
Mayotte,"266,150"
Sao Tome and Principe,"215,056"
Samoa,"197,097"
Saint Lucia,"182,790"
Guam,"167,294"
Curacao,"163,424"
Kiribati,"117,606"
Micronesia,"113,815"
Grenada,"112,003"
Saint Vincent and the Grenadines,"110,589"
Aruba,"106,314"
United States Virgin Islands,"104,578"
Tonga,"104,494"
Seychelles,"97,739"
Antigua and Barbuda,"97,118"
Isle of Man,"84,584"
Andorra,"77,142"
Dominica,"71,808"
Cayman Islands,"64,948"
Bermuda,"62,506"
Marshall Islands,"58,791"
Northern Mariana Islands,"57,216"
Greenland,"56,672"
American Samoa,"55,312"
Saint Kitts and Nevis,"52,823"
Faroe Islands,"48,678"
Sint Maarten,"42,388"
Monaco,"38,964"
Turks and Caicos Islands,"38,191"
Liechtenstein,"38,019"
Saint Martin,"38,002"
San Marino,"33,860"
Gibraltar,"33,701"
British Virgin Islands,"30,030"
Palau,"18,008"
Cook Islands,"17,548"
Anguilla,"14,869"
Tuvalu,"11,646"
Wallis and Futuna,"11,432"
Nauru,"10,756"
Saint Barthélemy,"9,847"
Saint Pierre and Miquelon,"5,822"
Montserrat,"4,989"
Falkland Islands,"3,377"
Niue,"1,615"
Tokelau,"1,340"
Vatican City,799